id,content,source,tag
14,AFRIM — Location: AYEDUASE — Contact: 0243414677. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
15,AMANDAH — Location: AYEDUASE — Contact: 0544198434. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
16,AMEN MAIN — Location: AYEDUASE — Contact: 0249268089. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
17,AMEN ANNEX — Location: AYEDUASE — Contact: 0277401637. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
18,AMEN INN — Location: AYEDUASE — Contact: 0277401637. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
19,AMERICAN HOUSE — Location: AYEDUASE NEW SITE — Contact: 0208133921. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
20,ANAROSA — Location: AYEDUASE — Contact: 0274840045. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
21,"ANGLICAN — Location: GAZA AREA, KNUST — Contact: 0249481310. This is one of the non-residential hostels around KNUST campus.",knust website,non-residential hostel
22,BLUE ARK — Location: BOMSO — Contact: 0208117888. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
23,ASANSIKA — Location: AYEDUASE LAST STOP — Contact: 0245892336. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
24,B O EXECUTIVE — Location: AYEDUASE — Contact: 0242678171. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
25,"BANIVILLAS — Location: GAZA AREA, KNUST — Contact: 0244627999. This is one of the non-residential hostels around KNUST campus.",knust website,non-residential hostel
26,BEACON HOSTEL — Location: AYEDUASE — Contact: 0242083101. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
27,BY HIS GRACE — Location: AYEDUASE — Contact: 0277090109. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
28,CANAM HALL — Location: KOTEI EXTENSION — Contact: 0244991398. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
29,CANAM GOLD — Location: KOTEI EXTENSION — Contact: 0244991398. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
30,CANAM EXECUTIVE — Location: KOTEI EXTENSION — Contact: 0244991398. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
31,CASA MARIA HOSTEL — Location: AYEDUASE — Contact: 0208185998. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
32,CELIA ROYAL — Location: KOTEI — Contact: 0245970318. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
33,CEPOS HOSTEL — Location: KOTEI NEW SITE — Contact: 0277429367. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
34,CHARIS — Location: AYEDUASE-NEWSITE — Contact: 0247014197. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
35,CHRISTLIKE — Location: AYEDUASE — Contact: 0244470257. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
36,CRESTHAVEN — Location: KOTEI — Contact: 0245921848. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
37,CRYSTAL ROSE — Location: GAZA — Contact: 0206549570. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
38,DAKENS INT. HOSTEL — Location: AYEDUASE — Contact: 0208150148. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
39,DE-LISA HOSTEL ANNEX — Location: AYEDUASE NEW SITE — Contact: 0244282694. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
40,DE-LISA HOSTEL MAIN — Location: KOTEI ROAD — Contact: 0244282694. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
41,DESTINY VIEW — Location: KENTINKRONO — Contact: 0241676204. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
42,DEVALIPAH — Location: KOTEI — Contact: 0242861466. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
43,DIVINE KARMA — Location: AYEDUASE — Contact: 0543030093. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
44,ENIN — Location: NEWSITE — Contact: 0242820345. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
45,FOSUA HOMES — Location: AYEDUASE NEW SITE — Contact: 0552793293. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
46,FLINT XKLUSIV — Location: KOTEI EXTENSION — Contact: 0244461262 / 0244246287. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
47,F. PLAZA — Location: AYEDUASE NEW SITE — Contact: 0246761099 / 0244366904. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
48,FRANCO HOSTEL — Location: KOTEI EXTENSION — Contact: 0553005120. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
49,FRANCO HOSTEL ANNEX — Location: KOTEI EXTENSION — Contact: 0244583897. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
50,NEW FRANCO — Location: KOTEI EXTENSION — Contact: 0244583897. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
51,FRONTLINE APARTMENT — Location: AYEDUASE — Contact: 0276907186. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
52,FRONTLINE COURT — Location: AYEDUASE-KOTEI — Contact: 0276907186. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
53,FRONTLINE INN — Location: AYEDUASE — Contact: 0276907186. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
54,GEORGE EMPIRE (AMANDA) — Location: BEHIND P.III — Contact: 0208142263. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
55,GEORGIA HOSTEL — Location: GAZA — Contact: 0243986830. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
56,GHANA HOSTELS — Location: GAZA — Contact: 0206864492. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
57,GLORY BE TO GOD — Location: AYEDUASE — Contact: 0242002594. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
58,GLORY BE TO GOD ANNEX — Location: AYEDUASE — Contact: 0242689765. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
59,HALLOWED — Location: KOTEI — Contact: Not available. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
60,HAPPY FAMILY — Location: AYEDUASE — Contact: 0243787505. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
61,HIGH ACHIEVERS — Location: NEWSITE — Contact: 0242760178. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
62,HONESTY STUDENTS HOSTEL — Location: AHINSAN ESTATE — Contact: 0244288299. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
63,HYDES — Location: KOTIE EXTENSION — Contact: 0244372453. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
64,IPS — Location: BOMSO — Contact: 0244655275. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
65,JENEST HOSTEL — Location: AYEDUASE GATE — Contact: 0548136028. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
66,JALEX HOSTEL — Location: AYEDUASE — Contact: 0208149693. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
67,JECADO HOSTEL — Location: AYEDUASE — Contact: 0243318339. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
68,JITA HOSTEL — Location: AYEDUASE — Contact: 0247497700. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
69,JITA 2 — Location: AYEDUASE — Contact: 0266659113. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
70,JOHANNES — Location: KOTEI — Contact: 0248289373. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
71,KGEE — Location: NEWSITE — Contact: 0544914552. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
72,KWAKYEWAA — Location: KOTEI — Contact: 0244587382. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
73,LONG ISLAND — Location: KOTEI — Contact: 0543247175. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
74,MANCHESTER — Location: KOTEI — Contact: 0243484015. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
75,MASS — Location: KOTEI — Contact: 0249397811. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
76,MILLENIUM LIGHT — Location: AYEDUASE NEWSITE — Contact: 0208122201. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
77,MORNING STAR PALACE — Location: AYEDUASE — Contact: 0543698818. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
78,MORNING STAR PALACE — Location: BOMSO — Contact: 0244247533. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
79,NANA ADOMAH — Location: AYEDUASE — Contact: 0241796149. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
80,NEVADA — Location: NEWSITE - AYEDUASE — Contact: 0243944020. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
81,NO WEAPON — Location: KOTEI — Contact: 0546882770. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
82,NO WEAPON ANNEX — Location: KOTEI — Contact: 0542623351. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
83,NYAME MIREKU — Location: AYEDUASE — Contact: 0245396040. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
84,NYANTAKYI — Location: NEWSITE — Contact: 0242549054. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
85,ORANGE HOSTEL — Location: KOTEI — Contact: 0244383345. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
86,OUTLOOK HOSTEL — Location: AYEDUASE NEWSITE — Contact: 0244620866. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
87,P III HOSTEL — Location: AYEDUASE — Contact: 0245787825. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
88,PINAMANG HOSTEL — Location: AYEDUASE NEW SITE — Contact: N/A. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
89,PREMIER TOWER PALACE — Location: KOTEI — Contact: 0549435660. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
90,PRESTIGE — Location: KOTEI — Contact: 0244025917. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
91,PROVIDENCE — Location: KOTEI — Contact: 0276779957. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
92,R & B — Location: AYEDUASE — Contact: 0246288768. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
93,RICHBAD — Location: KOTEI — Contact: 0558868618. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
94,RISING STAR (NYBERG) — Location: KOTEI ROAD — Contact: 0209777759. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
95,RISING SUN — Location: AYEDUASE — Contact: 0244572880. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
96,ROYAL GATE HOSTEL LTD. — Location: BOMSO GATE — Contact: 0243463320. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
97,SHALOM KIBUTZ — Location: AYEDUASE — Contact: 0244756911. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
98,SHEPHERDSVILLE — Location: AYEDUASE — Contact: 0544341084. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
99,SOMPA — Location: KOTEI — Contact: 0246331048. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
100,SPLENDOR — Location: AYEDUASE — Contact: 0204089165. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
101,STANDARD — Location: BOMSO — Contact: 0208168440. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
102,SUNCITY — Location: KENTINKRONO — Contact: 0244616428. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
103,THE BEST — Location: KOTEI — Contact: 0244252764 / 0244581128. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
104,THE HOPES COMMUNITY — Location: AYEDUASE — Contact: 0558256643. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
105,THE LIBERTY — Location: KOTEI — Contact: 0240993470. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
106,THINK JESUS — Location: AHINSAN — Contact: 0243649924. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
107,THY KINGDOM COME — Location: AYEDUASE — Contact: 0244828656. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
108,THY WILL BE DONE — Location: KOTEI — Contact: 0548486613. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
109,ULTIMATE HOSTEL — Location: BOMSO — Contact: 0247136197. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
110,VICTORY TOWERS — Location: AYEDUASE — Contact: 0271973542. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
111,WAGYINGO — Location: AYEDUASE — Contact: 0549678089. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
112,WESTEND — Location: AYEDUASE — Contact: 0243881534. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
113,WHITE HOUSE — Location: AYEDUASE — Contact: 0243140061. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
114,WHITPAM A — Location: KOTEI — Contact: 0547105598. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
115,WHITPAM B — Location: NEWSITE — Contact: 0249482939. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
116,ZORO 1 — Location: KENTINKRONO — Contact: 0262690249. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
117,A taxi station can be found at Tech Junction and Brunei Hostel.,knust website,transportation
